
> advent-of-code-2020@1.0.0 start /Users/lauragreen/GitHub/advent-of-code-2020
2 4 s fgsstnssztbzkzcmp
4 8 w wwzcwwwf
4 6 v mjvwvvv
4 15 b bbblblbvbbbbslbbbcq
14 15 c cclcccccccccccc
3 9 g kglkgdctgxxs
2 7 s ssdglzsb
7 10 j jtjjjjjjkj
18 19 f ffffffffffffffffffxf
3 11 v xhvtvnjcccnsvgzv
11 18 g gggggggggzzgggggggp
8 13 p pppppwpdppppppp
3 5 m mmmmm
1 8 n znnnnnnhn
2 5 l qwvchzxlrlrlpldl
17 18 j jjjjjjjjjjjjjjjjjmj
7 18 s sksssssssstsssshsg
5 8 w qwxwvwcwvzlvrwwww
10 13 m mmmmqmmmvmmmx
11 12 c cccccwfccccccz
8 9 j bsjjjjjpxjjjj
7 11 h hhhhhhlhbhhh
2 3 b gblb
1 18 c ccccccccccccccccczc
10 15 x xxxxxxxxxwxxxxxg
17 19 j jjjjjjjjjjjjjjjjdjpj
1 4 d dddt
7 8 z zzzzzzlhz
4 10 d dgdzdddddddd
4 7 l llclxltlpqh
1 4 x hxxxx
5 7 n vnnnnnndxn
7 10 t ttttfttttt
1 4 v vvvv
14 18 x xxxxxxxxxxxxxnxxxx
7 10 z zzzzzzzbzq
7 13 b dvbsbbbbbbbkcbb
3 5 k drkrkpnhkpjhkk
3 4 x kxxtwx
5 17 n nnbnnnlnnnnnnqnnn
3 4 k gkkkxlx
11 17 s ssssqssssjrsmgssstgs
1 5 l hrqqlqpdlmbjlllmfjqz
1 5 k kkkvk
9 15 z zmzzzjzxmzzzbzv
1 4 f fdfc
10 12 t mtttzttwtttkstjtztt
9 15 q qlqqqbqqqqqqqqq
12 14 p ppppppppppplppp
2 8 x wxbngjrxzx
1 2 h hlhlg
9 10 b bbbbbdbbbqb
6 15 w wwwwwwwcwwwwwwww
2 7 d sgcfddnqmjthdphl
5 7 f qklfrzfgffff
14 15 n lnnnnnnnnnnnnnnn
2 11 q gqqlcqjlqrsbqkqqq
2 9 v xvvqbvfkwd
2 3 q qkqq
2 6 n nnqqgv
4 6 d dddddc
1 14 q wxqnqqqqqqtqqq
1 5 g grgtggnh
4 6 x mbtxxxxxxtm
3 7 w wwtwwww
4 9 n nnsnxnfbjnjnnnkn
8 10 c ccqclccvcccc
4 8 v vvvbvvvgv
4 6 m mdnmmmgrsqjjbctjvhm
6 9 r rlrrgrrrhr
4 6 q qqqjnq
3 9 s xssmzstbsrfz
4 11 c cxcrrccccrcncc
5 8 f vcfflfflmf
4 9 p ppppppmpps
7 17 s ssssksrvssnsbsssrxsm
6 13 x xwxxxxxxxxxxm
2 4 v vvvk
3 7 r srxrrmrwrrhrg
5 6 x xxxxxh
5 6 x xxxxxtx
14 15 r rrrrrrrrrrrrrrk
3 6 h hhhhwfhh
3 8 b jvpscbzbvb
9 12 j jjjjjjjjfjjj
1 2 n hwnn
2 7 k zkbnlwlpk
5 14 h rhjchxhlfjhxfhhb
1 4 p pbstdbpctfdzxzh
9 14 k swkkkkckqkkrqlkkrtk
14 17 n nnnnnnnnnnnnnnnns
5 6 c cvzcclcccdf
15 16 v vvvvvvvvvvvvvvfv
2 4 g gcgvg
5 7 k qkknzkfncgkckkj
6 7 v vvvvvqv
7 14 n nxnqnnqnqnnnnnn
7 9 w wwwwtwwqdw
14 15 q qqqqqqqqqqqqqlq
8 14 x vxxxxxxhcxxxdxxm
9 11 b fbbfdmbbbbjbstbb
5 13 z zzzzxnzzzzzzzgz
1 10 b bnsbgsnrbb
3 6 w zxtfmwndwnwkj
2 4 s smss
2 4 p wppkz
2 6 d dnddgd
1 3 b vkcbb
7 8 f ffffffdf
11 13 t ttttttttttttl
14 18 x xvxxfxxxxrxxxgxxxrx
8 10 k gtkbkksnkskkrkkk
2 4 h hnhh
9 11 f fffhffffvffvfq
8 14 z zzzzzzzzzzmzzzz
9 11 j jjjjqjjpjjwj
3 4 s sskss
10 13 n nnnnfnnnnpncnm
4 5 q qqqmq
6 9 s ssnsssssksc
9 11 r rrrfrrrrhrrr
1 3 z zzdzh
2 7 v vvvvnvr
14 16 j jjjjjjmjnjxjjtjjjwj
15 18 h hhhhwhhqhhtfhhhhhzhh
3 4 w twwjwg
9 10 z kzzfzzzzzhlzzg
11 16 d ddddddsrdddpbdldrb
3 4 j jjjd
3 4 q qgqq
4 15 h hhhtthhhhhhhhhhhh
3 11 b bbbcnzglwcbqxgwvbc
2 3 b nbhbrkkzbs
4 5 p ppppk
2 5 q jqkzqrzqbtkcqgb
1 5 r rrrrr
3 4 w wwwgt
2 8 x xxxxxxqx
2 10 r crmkxbcrrkr
1 3 s sshs
1 3 d lfdd
15 17 j jwjjjjjjjzjjjjjjpj
4 7 l lllljnlt
3 14 q xkqqsvcqdqqqjscfd
7 11 m rmhmmmmmmmjmm
1 4 r dmrrl
4 10 t wtfttttttbmntsth
9 11 s ssdslssssss
2 17 l wpltglllsslllwlslrpc
13 15 g gglggglgggvgwgzgggg
4 6 v qqvvvvvlbzdv
2 9 n nnnnfvxnpvfjnnbg
2 9 c pgctwtlccvl
6 10 k zjkkvkkzwkk
3 4 h hhhkh
3 15 k kkkgkkkxkkknkkv
4 8 h hhhhzhkdj
9 11 j jjjjjjjjjjsk
3 4 v hvvv
15 16 t tttfttftttfttttkttt
8 13 b bbbbbbqgbrbcbqbb
3 13 j kwkjmmqtpcjcjhdllwjj
2 6 r rrrrrn
10 11 s bsssssstsssss
3 5 n nnbwn
16 19 p pppppppppqppppppppqp
5 11 d ddddntddgdd
1 7 r lrrkrqrwbkk
2 9 z cwzthgjzzgzzhzz
5 13 c jczpcmcccccccjpc
3 11 q rqkxqckgqqqqb
2 14 r mhlbmsrsgrwrtrbrpt
2 10 v tvnxllwvhdkcjsvxlztx
6 7 f fffffbff
3 7 p pppphpp
6 8 w wrwcwwjswnwwwp
3 4 h hhfh
2 5 h hhhrsc
3 19 b txxmgxhnbqhtjhjfvdbb
14 20 w wwwwwwpwqnwwkwwwwwwn
5 6 z zzzzvz
2 5 x rxxllbfhnvxx
1 16 l zmlxxnlzzbhfscll
7 10 q qqqbpqqqhdq
6 7 x xwfzsjxxxxzpxvsx
7 10 l lllllldmll
3 6 g ggppjgg
7 9 v vxdvzvvvchbvvvq
8 10 p hppppbptppsp
13 20 f ffpsfffffffffffffffg
1 7 g xgggggxgg
1 8 w wsnkwcww
2 3 z zmzgxp
9 11 w wwwnwwwwwkww
5 6 w wwwwrw
5 6 n nnnndn
6 14 g gfqgggwggjlswdg
7 8 n mxtnnkxcnhnnjknptn
3 8 k knjxpwkkzkmzkwfknvzg
9 10 z zzzzlznzztzzz
1 2 k pxkk
2 3 k spkgwkpmns
4 6 k kkkwkk
1 6 t gtttsckj
2 5 b zbblgb
6 7 v vvvvvvqv
8 16 b bbbbgbbrxbbbbrlgb
3 5 f fvfpfghnvkdtpfjrf
10 13 t rtttjtsfttttntwt
10 12 c ccvcccrczcccqccnj
9 17 k kkkkkkkklkkkkkkkr
7 8 g gnggmggmgg
7 8 l plllgllsll
6 12 s sssksjxssssssfw
6 11 g gqggrggvgbgg
3 5 r rddtrrdrt
10 15 p pspppfppwppppwpp
2 4 j bsjjjgkvtw
3 5 m pmmmh
3 13 r rfrrfrrrrrrzr
17 19 r rrrrrrrrrrrrrdhrrrfr
8 10 n nnnnnbnxhnn
6 7 r cgrrmrrrrgrbcnhfmvn
5 18 v vkxvvsvwhvvvrvvvmrr
1 6 h jwhhchh
6 10 g ggggmdgtgg
5 6 v jsxvwvvsvcrzlnvqwmvq
2 6 k kkkkkck
4 9 z czcrzzzgl
2 3 t wttt
1 8 b vxbwwxrbbqsjb
2 13 k jkgfcnqkhdkdjk
5 7 q kqqqhrqq
1 4 p npqpqpmh
4 15 n npncnnnznnkqdnqnn
2 3 d dhzdd
4 9 l lllclllhll
14 16 n nnnnnnnnnnnnnvnnn
6 13 d sckddddfxdddvdddd
1 5 f hfffff
7 14 f fffnnfpfffjgqqdf
9 13 s msssrsssnsssssss
19 20 h hhhhhhhhhhhhhhhhhhht
2 4 q wrlqgqlh
2 6 m qtlznmbbsznljmhd
3 5 m mmmmcl
4 5 r rrrlr
1 4 b gbbb
19 20 s sssssssssssssssssssf
6 12 c jcccbckcqxcss
2 10 r frsbkmqqpsqdpzrvpr
3 12 p ppmkphqgdfphhcpd
2 4 n ncnn
7 14 j rjjjjjjjjmjjjhjjj
6 13 p pppfvppppppppp
5 6 s sssssvs
4 13 z zzzgzzzzjzzzzx
14 16 f fffffffvfffffnfff
5 7 f fvffffj
2 6 q pmqqqqqq
7 8 w swwwwwgww
2 4 c gcccql
2 6 f qpfffzff
3 6 t ttrtttt
1 4 l tkzlgkl
5 18 s ssssrssssssssssssss
8 13 p wpkpcpppgwplpppp
11 12 l llllllllllxl
9 12 v wvbvvfvrvvxzvsqvfwrv
2 20 r vrvcqskfwkqrdhvtlshr
1 3 v wvvvr
2 19 j jjjjjjjjjjjjjjjjjjbj
2 8 h zphrlkvhczdgrhrm
9 14 d ddddbdddddddxfdd
3 4 c cctc
5 6 x xxxxxvjx
1 18 m wmmmmmmmmmmmmmmmmmm
2 8 f vffkrwff
2 4 n wcnnv
4 6 w wwbwnwwb
2 5 d jlddr
2 4 j fjjjbj
1 10 w wwwlwbwwsswdww
9 10 m mmmmmmtmmmcmc
13 18 l lbtllllllzllllllbdl
9 13 d dmdpddddqtddddddvd
10 12 k kkkgkrkrkkktxkk
7 8 w hvwtwwwwwww
2 3 m ctmmlm
2 5 j lcjjj
8 13 w wwwwwwwwwwwnwws
2 4 g xgtgg
5 6 c cccccrc
3 10 f mffnffvjxtfdjd
1 9 k nkkdkkkkkkk
3 4 r rfrr
6 10 b vkbbbwzbwbbjnsrwb
4 7 s qxlmqssqcbhstknvjzss
1 2 b cbcjhzllb
17 19 z zzzzzzzzzzzkzzgzzzsz
2 4 d ddkml
6 10 m nmmmmcwmmmlsm
3 4 p pppq
1 5 s sgvrgss
9 11 w cwwswwwnwwbwwh
18 19 g ggggggggggnggggggzgg
5 6 f ffffff
18 20 c cccccccccccccccccfcc
2 5 d ddhbdbl
10 14 g ggwgfggjggggfhlg
11 13 q qqsxqfqqqqqcqwqzq
6 7 w wwwwwwx
6 7 h hhhhhhp
1 8 w twkwwbgw
7 15 g ggggggkggggggggdg
9 10 n nnnnnnnnnp
3 9 l lhlxflczslf
3 4 f fffnvthfj
10 11 j gjjjjjjjjjbtj
3 8 x dxxcrsxxbbqrfx
2 16 c wcfpjtbpgbbbnnpzchn
7 11 x xxrxcxxvxxfjxsvpxm
9 10 f fffsfffsfpfff
9 11 b bbbbbbbbjbp
6 12 p tpmdppppgpppgp
4 13 q zsqqqqqtdkqgnrtqqqr
9 10 l gllllllllzl
2 5 z jzzjqqvp
3 4 c sccc
6 13 x xzhxgzxfxxsvxh
7 8 n nnnnnnxn
18 19 t tttttfttttrttttttttt
1 3 w wjwxr
3 12 z zwqzjfmxgtxmqvzgqnsw
6 10 l lllllrllljll
6 8 n nnnnnnnp
5 8 h shqhhfhghhqhdw
2 7 k skcsgnk
10 12 c chdpcccccccwcdvhtmc
1 2 b hrbsckfth
2 4 s sngs
3 4 h hhhjh
2 3 p cppp
13 14 r rrrrrrrrrrrrxr
4 16 j cmtlnsprjjfhjgmj
1 10 m dfsmnmmdmm
5 11 w gtxwxmzwwtwrmwwwgwcd
4 5 c cccfcc
3 9 p pbpppdfpfpp
1 3 m nmmx
16 20 f ffffffffffffffflffff
2 13 v pvmmfzmjvvqvv
1 13 p kppppppppppppp
3 6 t ttkdtp
6 7 d dddddpdd
5 15 r lrpsrrrrrzrrcxng
10 11 f ffffffffftff
2 8 w rjdvtwgw
10 15 c cchcccccccccccjc
5 11 s ssssllsssssmh
14 16 s sssssssssssssssfx
6 7 l lnjqdlllltlvkwnvlxs
7 8 q gqqxhtfqqqqpqm
2 15 w wlwwwlgmhwwgwwkwz
4 5 h hhhthh
9 11 x mxxxxxxxxqqx
3 6 f lzfxfmjfbgrl
8 9 s ssstssszss
2 4 n pnnn
4 7 q qqqfqqqq
2 4 t ljztcptpmz
2 16 f fqfffffffffffffff
12 13 t tttttttttttxct
9 12 s sssstssssssb
3 11 g nsggzgxljjlfxfl
1 7 l llnqshlsjl
8 10 d jzddhkjdwpddddddcwj
6 8 l lllllzljl
1 2 v ddvmtr
5 7 s ssstgss
4 5 x xmxxx
4 5 m mmmmnms
2 6 d ddfxwvd
1 5 l lkppsbblc
8 11 c ccskccccbhclc
8 10 f fgffsmfrzfqlfffmnpr
1 4 m qjpm
3 4 f fbcff
2 5 t ttglwxxghtznp
2 8 m rgmnzxxmwmbdldhbpnsp
